ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
Ma17-6-342,Ma17,6,+,,,Szeto2018
Ma17-7-343,Ma17,7,+,,,Szeto2018
Ma17-8-344,Ma17,8,+,,,Szeto2018
Ma17-9-345,Ma17,9,+,,,Szeto2018
Ma17-10-346,Ma17,10,+,,,Szeto2018
Ma17-11-347,Ma17,11,–,,,Szeto2018
Ma17-12-348,Ma17,12,+,,,Szeto2018
Ma17-13-349,Ma17,13,–,,,Szeto2018
Ma17-14-350,Ma17,14,–,,,Szeto2018
Ma17-15-351,Ma17,15,–,,,Szeto2018
Ma17-16-352,Ma17,16,–,,,Szeto2018
Ma17-17-353,Ma17,17,–,,,Szeto2018
Ma17-18-354,Ma17,18,–,,,Szeto2018
Ma17-19-355,Ma17,19,+,,,Szeto2018
Ma17-20-356,Ma17,20,+,,,Szeto2018
Ma17-21-357,Ma17,21,–,,,Szeto2018
Ma18-1-358,Ma18,1,–,,,Szeto2018
Ma18-2-359,Ma18,2,+,,,Szeto2018
Ma18-3-360,Ma18,3,–,,,Szeto2018
Ma18-4-361,Ma18,4,–,,,Szeto2018
Ma18-5-362,Ma18,5,–,,,Szeto2018
Ma18-6-363,Ma18,6,+,,,Szeto2018
Ma18-7-364,Ma18,7,+,,,Szeto2018
Ma18-8-365,Ma18,8,+,,,Szeto2018
Ma18-9-366,Ma18,9,+,,,Szeto2018
Ma18-10-367,Ma18,10,–,,,Szeto2018
Ma18-11-368,Ma18,11,–,,,Szeto2018
Ma18-12-369,Ma18,12,+,,,Szeto2018
Ma18-13-370,Ma18,13,–,,,Szeto2018
Ma18-14-371,Ma18,14,–,,,Szeto2018
Ma18-15-372,Ma18,15,–,,,Szeto2018
Ma18-16-373,Ma18,16,–,,,Szeto2018
Ma18-17-374,Ma18,17,–,,,Szeto2018
Ma18-18-375,Ma18,18,–,,,Szeto2018
Ma18-19-376,Ma18,19,+,,,Szeto2018
Ma18-20-377,Ma18,20,+,,,Szeto2018
Ma18-21-378,Ma18,21,–,,,Szeto2018
Ma19-1-379,Ma19,1,+,,,Szeto2018
Ma19-2-380,Ma19,2,–,,,Szeto2018
Ma19-3-381,Ma19,3,–,,,Szeto2018
